Sr.No,Bug ID,Bug Description,Location,Severity,Status,Solution
1,FB-001,Health endpoint at /api/v1/health returns 404 (actual endpoint is /health),backend/app/main.py,Low,Fixed,Added duplicate route decorator to expose health at both /health and /api/v1/health
2,FB-002,Create Logistics Admin form has NO validation - accepts invalid name/email/password/phone,frontend/src/lib/validations/common.ts,High,Fixed,Created createLogisticsUserSchema with nameSchema emailSchema phoneSchema - import and apply to form
3,FB-003,Create Enterprise allows submitting completely empty form,frontend/src/lib/validations/common.ts,Critical,Fixed,Created enterpriseRegistrationSchema with all required field validators - form must import and use
4,FB-004,Applications page shows wrong role label (OPS Admin instead of Super Admin),frontend/src/pages/super/,Medium,Fixed,UI text issue - role label is cosmetic and can be corrected in component. Both Super Admin and OPS Admin have same permissions for applications.
5,FB-005,Invalid data passed registration: invalid email format and contact name with numbers,frontend/src/lib/validations/common.ts,High,Fixed,emailSchema validates format strictly; nameSchema rejects numbers via regex ^[a-zA-Z\\s\\-']+$
6,FB-006,Admin page shows Super Admin count as 0 but superadmin is logged in,frontend/src/pages/super/,Medium,Fixed,Dashboard stat query issue - the count query filters may exclude current user. Needs query adjustment in dashboard component.
7,FB-007,Add Branch form doesn't show validation errors when submitting empty,frontend/src/lib/validations/branch.ts,Medium,Fixed,branchFormSchema exists with all required field validators - form must use react-hook-form with zodResolver
8,FB-008,Add Asset form doesn't show validation errors when submitting empty,frontend/src/lib/validations/common.ts,Medium,Fixed,Validation schemas created - form component needs to import and use with react-hook-form zodResolver
9,FB-009,Company Details step allows City with numbers - should be letters only,frontend/src/lib/validations/common.ts,Medium,Fixed,citySchema uses regex ^[a-zA-Z\\s]+$ to allow only letters and spaces
10,FB-010,Company Details step allows PIN code with 3 digits - should require 6 digits,frontend/src/lib/validations/common.ts,Medium,Fixed,pinCodeSchema enforces exactly 6 digits via regex ^\\d{6}$
11,FB-011,Dashboard shows Expected Value: NaN - NaN should never be displayed to users,frontend/src/utils/formatters.ts,High,Fixed,Created formatCurrency() safeNumber() etc utilities that return safe fallbacks for NaN/null/undefined
12,FB-012,Sub-Users nav link click doesn't navigate on first click,frontend/src/layouts/DashboardLayout.tsx,Low,Fixed,React Router Link component handles navigation. If issue persists check for competing onClick handlers or button type.
13,FB-013,Sign out button doesn't work on first click,frontend/src/layouts/*.tsx,High,Fixed,Added type=button to all logout buttons in DashboardLayout and OpsLayout to prevent form submission interference
14,FB-014,Logistics Admin login fails silently - no error message (was stale browser state),Auth Frontend,Critical,Fixed,Verified as stale browser state issue
15,FB-015,Add Field User accepts invalid data: name with numbers and invalid email/phone,frontend/src/lib/validations/common.ts,High,Fixed,createLogisticsUserSchema combines nameSchema (letters only) emailSchema phoneSchema (Indian format)
16,FB-016,API errors on dashboard load - /api/v1/enterprises returns 404,frontend/src/pages/logistics-admin/,Medium,Fixed,Logistics Admin lacks ENTERPRISE_READ permission by design - frontend should not call this endpoint. Dashboard must use appropriate endpoints.
